FECHA,COD_STA,COD_UBT,COD_SDS,POP,PDP
24/03/2020,ED,ALT,E1Y00,0,0
24/03/2020,EX,ALT,E1Y00,0,0
24/03/2020,SU,ALT,E1Y00,1,69379
24/03/2020,I0,ALT,E1Y30,0,0
24/03/2020,I1,ALT,E1Y30,0,0
24/03/2020,I2,ALT,E1Y30,0,0
24/03/2020,I3,ALT,E1Y30,0,0
24/03/2020,RE,ALT,E1Y30,0,0
24/03/2020,ND,ALT,E1Y30,0,0
24/03/2020,ED,ALT,E1Y30,0,0
24/03/2020,EX,ALT,E1Y30,0,0
24/03/2020,SU,ALT,E1Y30,1,50481
24/03/2020,I0,ALT,E1Y60,0,0
24/03/2020,I1,ALT,E1Y60,0,0
24/03/2020,I2,ALT,E1Y60,0,0
24/03/2020,I3,ALT,E1Y60,0,0
24/03/2020,RE,ALT,E1Y60,0,0
24/03/2020,ND,ALT,E1Y60,0,0
24/03/2020,ED,ALT,E1Y60,0,0
24/03/2020,EX,ALT,E1Y60,0,0
24/03/2020,SU,ALT,E1Y60,1,9579
24/03/2020,I0,ALT,E2Y00,0,0
24/03/2020,I1,ALT,E2Y00,0,0
24/03/2020,I2,ALT,E2Y00,0,0
24/03/2020,I3,ALT,E2Y00,0,0
24/03/2020,RE,ALT,E2Y00,0,0
24/03/2020,ND,ALT,E2Y00,0,0
24/03/2020,ED,ALT,E2Y00,0,0
24/03/2020,EX,ALT,E2Y00,0,0
24/03/2020,SU,ALT,E2Y00,1,62771
24/03/2020,I0,ALT,E2Y30,0,0
24/03/2020,I1,ALT,E2Y30,2.18948E-05,1
24/03/2020,I2,ALT,E2Y30,0,0
24/03/2020,I3,ALT,E2Y30,0,0
24/03/2020,RE,ALT,E2Y30,0,0
24/03/2020,ND,ALT,E2Y30,0,0
24/03/2020,ED,ALT,E2Y30,0,0
24/03/2020,EX,ALT,E2Y30,0,0
24/03/2020,SU,ALT,E2Y30,0.999978105,45672
24/03/2020,I0,ALT,E2Y60,0,0
24/03/2020,I1,ALT,E2Y60,0,0
24/03/2020,I2,ALT,E2Y60,0,0
24/03/2020,I3,ALT,E2Y60,0,0
24/03/2020,RE,ALT,E2Y60,0,0
24/03/2020,ND,ALT,E2Y60,0,0
24/03/2020,ED,ALT,E2Y60,0,0
24/03/2020,EX,ALT,E2Y60,0,0
24/03/2020,SU,ALT,E2Y60,1,8666
