FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-26,ED,BOG,BOG,5.435865629032767E-9,0.01
2020-03-26,EX,BOG,BOG,1.7961533042781355E-5,0.01
2020-03-26,I0,BOG,BOG,8.069112044812451E-5,0.01
2020-03-26,I1,BOG,BOG,7.191965197547975E-5,0.01
2020-03-26,I2,BOG,BOG,1.1518234983097356E-5,0.01
2020-03-26,I3,BOG,BOG,1.8275741538095177E-6,0.01
2020-03-26,ND,BOG,BOG,0.0,0.01
2020-03-26,RE,BOG,BOG,7.132440535148648E-5,0.01
2020-03-26,SU,BOG,BOG,0.9997444856867637,0.01
2020-03-27,ED,BOG,BOG,7.263439782842285E-9,0.01
2020-03-27,EX,BOG,BOG,1.8565344007227336E-5,0.01
2020-03-27,I0,BOG,BOG,8.245538711802624E-5,0.01
2020-03-27,I1,BOG,BOG,7.562743345834848E-5,0.01
2020-03-27,I2,BOG,BOG,1.2818126700284753E-5,0.01
2020-03-27,I3,BOG,BOG,2.1932766942070515E-6,0.01
2020-03-27,ND,BOG,BOG,0.0,0.01
2020-03-27,RE,BOG,BOG,8.205691727622197E-5,0.01
2020-03-27,SU,BOG,BOG,0.9997259203427564,0.01
2020-03-28,ED,BOG,BOG,9.456716477049337E-9,0.01
2020-03-28,EX,BOG,BOG,1.918525824649572E-5,0.01
2020-03-28,I0,BOG,BOG,8.446932049156197E-5,0.01
2020-03-28,I1,BOG,BOG,7.911734179433052E-5,0.01
2020-03-28,I2,BOG,BOG,1.4088369084488457E-5,0.01
2020-03-28,I3,BOG,BOG,2.584305491164905E-6,0.01
2020-03-28,ND,BOG,BOG,0.0,0.01
2020-03-28,RE,BOG,BOG,9.334748455805964E-5,0.01
2020-03-28,SU,BOG,BOG,0.9997067350845099,0.01
2020-03-29,ED,BOG,BOG,1.2041021968214242E-8,0.01
2020-03-29,EX,BOG,BOG,1.982314758159189E-5,0.01
2020-03-29,I0,BOG,BOG,8.669890781987342E-5,0.01
2020-03-29,I1,BOG,BOG,8.246250524656165E-5,0.01
2020-03-29,I2,BOG,BOG,1.5324306327057356E-5,0.01
2020-03-29,I3,BOG,BOG,2.996716116621473E-6,0.01
2020-03-29,ND,BOG,BOG,0.0,0.01
2020-03-29,RE,BOG,BOG,1.0518042888142906E-4,0.01
2020-03-29,SU,BOG,BOG,0.9996869119369283,0.01
2020-03-30,ED,BOG,BOG,1.5037738084835714E-8,0.01
2020-03-30,EX,BOG,BOG,2.0480170658845962E-5,0.01
2020-03-30,I0,BOG,BOG,8.911883561225656E-5,0.01
2020-03-30,I1,BOG,BOG,8.572000706665557E-5,0.01
2020-03-30,I2,BOG,BOG,1.6524845149469305E-5,0.01
2020-03-30,I3,BOG,BOG,3.426736891232707E-6,0.01
2020-03-30,ND,BOG,BOG,0.0,0.01
2020-03-30,RE,BOG,BOG,1.1754575144768964E-4,0.01
2020-03-30,SU,BOG,BOG,0.9996664317662695,0.01
2020-03-31,ED,BOG,BOG,1.8464474976068422E-8,0.01
2020-03-31,EX,BOG,BOG,2.1157452239548816E-5,0.01
2020-03-31,I0,BOG,BOG,9.171003024454469E-5,0.01
2020-03-31,I1,BOG,BOG,8.893461703551394E-5,0.01
2020-03-31,I2,BOG,BOG,1.769132527765172E-5,0.01
2020-03-31,I3,BOG,BOG,3.870921245309999E-6,0.01
2020-03-31,ND,BOG,BOG,0.0,0.01
2020-03-31,RE,BOG,BOG,1.3043811617856777E-4,0.01
2020-03-31,SU,BOG,BOG,0.9996452743140299,0.01
2020-04-01,ED,BOG,BOG,2.2335396221378422E-8,0.01
2020-04-01,EX,BOG,BOG,2.1856023927747833E-5,0.01
2020-04-01,I0,BOG,BOG,9.445837153500562E-5,0.01
2020-04-01,I1,BOG,BOG,9.214158069229352E-5,0.01
2020-04-01,I2,BOG,BOG,1.882669381470643E-5,0.01
2020-04-01,I3,BOG,BOG,4.326231059416515E-6,0.01
