T,SU,EX,I0,I1,I2,I3,RE,ED
163,0.08843923468416547,2.056715186431795E-5,1.9135271663324205E-4,7.258242525621693E-4,6.502797149640187E-4,0.0012795531318333853,0.8637975403552246,7.505093506031887E-4
164,0.08841614352669601,1.866919573524919E-5,1.735093109880092E-4,6.568788332140192E-4,5.902866825891189E-4,0.0011825619710775833,0.8639547129916035,7.517889037350221E-4
165,0.08839477488118372,1.694783833595667E-5,1.573496864932263E-4,5.945393374644484E-4,5.357491295433852E-4,0.0010924132581724437,0.8640942417393306,7.529714657060997E-4
166,0.08837496866735281,1.538647508684983E-5,1.4271245361359143E-4,5.381684108402204E-4,4.861844149194339E-4,0.0010086825200736234,0.8642176678148976,7.540638789642722E-4
167,0.0883565798353502,1.3970083569255459E-5,1.2945201423117647E-4,4.871903741834466E-4,4.4115047918217676E-4,9.309647492900081E-4,0.86432639946315,7.550725614843457E-4
168,0.08833947693620503,1.2685070153399469E-5,1.1743697396817383E-4,4.41085285203087E-4,4.00242755422478E-4,8.588743896780652E-4,0.8644217232018966,7.560035262336358E-4
169,0.0883235408305229,1.1519131835307712E-5,1.0654871983479108E-4,3.993835603423918E-4,3.6309126593511666E-4,7.920451765809591E-4,0.8645048141479845,7.568624006233138E-4
170,0.08830866352175377,1.0461131727604705E-5,9.668014522521268E-5,3.616611067442993E-4,3.293579011620201E-4,7.301298547024737E-4,0.8645767454951426,7.576544457998948E-4
171,0.08829474710176273,9.500986814957193E-6,8.773450633809786E-5,3.2753491805806055E-4,2.9873387643812333E-4,6.727997946258911E-4,0.8646384972092341,7.583845756545973E-4
172,0.08828170279767567,8.62956673198326E-6,7.962439590518809E-5,2.966590915876561E-4,2.709373607515815E-4,6.197445265796973E-4,0.8646909640020934,7.590573754492232E-4
173,0.08826945011008368,7.838602452093802E-6,7.227082170303237E-5,2.687212278223676E-4,2.457112708225264E-4,5.70671207916182E-4,0.8647349626408564,7.596771199758029E-4
174,0.08825791603368625,7.120603891917876E-6,6.56023787254687E-5,2.4343917670580263E-4,2.2282122316285546E-4,5.253040388035631E-4,0.8647712386456471,7.60247791183719E-4
175,0.08824703435234518,6.468785539399316E-6,5.9554505131762E-5,2.2055809809085077E-4,2.0205363635832947E-4,4.833836388328114E-4,0.8648004724246504,7.607730952225226E-4
176,0.08823674500132173,5.876999305829369E-6,5.4068813177639325E-5,1.998478066977008E-4,1.832139755743567E-4,4.446663956007927E-4,0.8648232848919902,7.612564788613555E-4
177,0.08822699349018735,5.339673884302799E-6,4.909248730171329E-5,1.8110037454644893E-4,1.661251311945704E-4,4.089237948443124E-4,0.8648402426104349,7.617011452569562E-4
178,0.08821773038054236,4.851759970492405E-6,4.457774239350144E-5,1.6412796628340935E-4,1.5062592352784503E-4,3.7594174035692927E-4,0.8648518624977718,7.621100690518006E-4
179,0.0882089108132561,4.408680767228758E-6,4.0481336025005626E-5,1.4876088507091522E-4,1.365697256402047E-4,3.4551987071322057E-4,0.8648586161327119,7.624860107921576E-4
180,0.08820049408046242,4.006287253026121E-6,3.676412909745887E-5,1.3484580877501243E-4,1.2382319656237378E-4,3.174708787444663E-4,0.8648609336934069,7.628315306628708E-4
181,0.0881924432380112,3.6408177471839366E-6,3.339068994872678E-5,1.2224419807534514E-4,1.1226511737399962E-4,2.9161983874633135E-4,0.8648592075590729,7.631490015416152E-4
182,0.0881847247544982,3.308861351096249E-6,3.032893749400776E-5,1.1083085984823796E-4,1.0178532295719049E-4,2.678035455439902E-4,0.8648537956028057,7.634406213803615E-4
183,0.08817730819337297,3.0073248875195837E-6,2.7549819440819036E-5,1.0049265074894938E-4,9.228372253276831E-5,2.458698687844027E-4,0.8648450242014359,7.637084249259055E-4
184,0.08817016592496599,2.7334029973133756E-6,2.502702203570592E-5,9.112730735350461E-5,8.366940243247976E-5,2.2567712516056442E-4,0.8648331909861988,7.639542947946899E-4
185,0.08816327286558269,2.4845510870456458E-6,2.2736708170730035E-5,8.264239052523205E-5,7.585980491110333E-5,2.0709347069033457E-4,0.8648185673560737,7.641799719198505E-4
186,0.08815660624108815,2.2584608512662098E-6,2.0657281007894992E-5,7.495433285645835E-5,6.87799771572621E-5,1.8999631466515147E-4,0.864801400773869,7.643870653905408E-4
187,0.08815014537265553,2.053038120559293E-6,1.876917057391789E-5,6.798757911156064E-5,6.23618850154531E-5,1.742717564442746E-4,0.8647819168634899,7.64577061705206E-4
188,0.08814387148257588,1.8663828110246072E-6,1.7054641040249274E-5,6.167381057295251E-5,5.654378628011243E-5,1.5981404589133298E-4,0.8647603213253057,7.647513334616503E-4
189,0.08813776751822887,1.6967707728922813E-6,1.549761663758482E-5,5.595124507522074E-5,5.1269658762173636E-5,1.4652506792557104E-4,0.8647368016851399,7.649111475075416E-4
190,0.08813181799249714,1.542637355811627E-6,1.4083524363469221E-5,5.076400531257017E-5,4.648867865706272E-5,1.3431385138440612E-4,0.8647115288911154,7.650576725754672E-4
191,0.08812600883907132,1.4025625261976798E-6,1.2799151828760075E-5,4.606154872842704E-5,4.21547450585859E-5,1.2309610216135265E-4,0.8646846587713978,7.651919864268516E-4
192,0.08812032728124129,1.2752573880786503E-6,1.1632518756160305E-5,4.17981529503819E-5,3.8226046764431496E-5,1.1279376038909039E-4,0.8646563333647943,7.65315082529013E-4
193,0.08811476171290389,1.1595519733456356E-6,1.0572760793917021E-5,3.793245132496556E-5,3.4664667805201246E-5,1.033345812769477E-4,0.8646266821351537,7.65427876289402E-4
194,0.08810930159063791,1.0543841803273103E-6,9.610024442044679E-6,3.442701364087085E-5,3.1436228399551966E-5,9.465173908124393E-5,0.8645958230795937,7.65531210870679E-4
195,0.08810393733580704,9.587897513434577E-7,8.735372008761558E-6,3.124796761149803E-5,2.850955829300314E-5,8.66834535820782E-5,0.8645638637397344,7.656258626097602E-4
196,0.08809866024574979,8.71893190463317E-7,7.940695622736535E-6,2.8364657122993936E-5,2.5856399677324708E-5,7.937263835792221E-5,0.8645309021243339,7.657125460633423E-4
197,0.08809346241320527,7.928995322251581E-7,7.2186394235627375E-6,2.5749333646729806E-5,2.345113711142006E-5,7.266657008676527E-5,0.8644970275510128,7.657919187017003E-4
198,0.08808833665320395,7.210868806674118E-7,6.5625291397898135E-6,2.337687756947883E-5,2.127055207366455E-5,6.651657805687752E-5,0.8644623214140917,7.65864585271787E-4
199,0.08808327643672552,6.557996457731448E-7,5.966308341909172E-6,2.122454651410615E-5,1.929359997025872E-5,6.087775303909742E-5,0.8644268578849733,7.659311018498438E-4
200,0.08807827583049227,5.964424114232436E-7,5.424480727830792E-6,1.927174801172554E-5,1.750120760489467E-5,5.57086746537715E-5,0.86439070455094,7.659919796028829E-4
201,0.08807332944232547,5.424743752649299E-7,4.932057861448001E-6,1.7499834146055075E-5,1.5876089282555258E-5,5.0971156357180753E-5,0.8643539229977422,7.660476882775367E-4
202,0.08806843237154677,4.934043065992372E-7,4.484511841597881E-6,1.5891916024878974E-5,1.4402579875243635E-5,4.663000717280035E-5,0.8643165693408824,7.660986594338939E-4
203,0.08806358016395466,4.487859735347592E-7,4.077732429749543E-6,1.4432696144595558E-5,1.306648332056846E-5,4.265280930057983E-5,0.8642786947100825,7.661452894410667E-4
204,0.08805876877095116,4.0821399530016774E-7,3.70798821067848E-6,1.3108316904065517E-5,1.1854935156085958E-5,3.900971075130291E-5,0.8642403456910288,7.661879422503672E-4
205,0.0880539945124328,3.713200798039048E-7,3.371891401737577E-6,1.1906223695417061E-5,1.0756277813817261E-5,3.567323217185491E-5,0.8642015647281414,7.662269519611185E-4
206,0.08804925404309685,3.3776961032033966E-7,3.066365963582939E-6,1.0815041153965088E-5,9.759947511098135E-6,3.261808704990401E-5,0.8641623904917805,7.662626251932903E-4
207,0.0880445443218461,3.0725854860734484E-7,2.788618698774313E-6,9.824461288631454E-6,8.856371676539441E-6,2.9821014512233735E-5,0.864122858213016,7.662952432803403E-4
208,0.08803986258400515,2.795106248564844E-7,2.5361130549203753E-6,8.925142339721105E-6,8.036875944017797E-6,2.7260623959008247E-5,0.8640829999888069,7.663250642948525E-4
209,0.08803520631608827,2.5427478767603326E-7,2.3065453763135743E-6,8.108617323975825E-6,7.293599833887504E-6,2.491725080597507E-5,0.8640428450601918,7.663523249188116E-4
210,0.08803057323288263,2.3132288983787063E-7,2.097823372597883E-6,7.367211328721526E-6,6.61942031958803E-6,2.277282263746784E-5,0.8640024200658679,7.663772421696175E-4
211,0.08802596125663317,2.104475878080082E-7,1.9080465952045203E-6,6.693966708753809E-6,6.007882550067292E-6,2.081073510460544E-5,0.8639617492733223,7.66400014992255E-4
212,0.0880213684981352,1.9146043515066825E-7,1.7354887323165965E-6,6.082575422368071E-6,5.453137064469273E-6,1.9015736934903932E-5,0.8639208547894958,7.664208257273596E-4
213,0.08801679323955852,1.7419015176858744E-7,1.5785815511998114E-6,5.527317817534497E-6,4.949882895833717E-6,1.7373823451300017E-5,0.8638797567527828,7.664398414642946E-4
214,0.0880122339188439,1.5848105263671173E-7,1.435900333056827E-6,5.023007246455244E-6,4.493316015583395E-6,1.5872138030059967E-5,0.8638384735080151,7.664572152877459E-4
215,0.08800768911552673,1.4419162121986522E-7,1.3061506603018879E-6,4.5649399473514554E-6,4.079082620758173E-6,1.4498880957995998E-5,0.8637970217659295,7.66473087425776E-4
216,0.0880031575378568,1.311932141528607E-7,1.1881564294660326E-6,4.148849686968916E-6,3.7032368116928503E-6,1.3243225179654832E-5,0.8637554167484932,7.66487586306734E-4
217,0.08799863801109489,1.1936888501787215E-7,1.080848974972419E-6,3.770866706555761E-6,3.3622022494974732E-6,1.2095238454539455E-5,0.8637136723213331,7.665008295319137E-4
218,0.08799412946687814,1.0861231619134136E-7,9.832571998921688E-7,3.427480558486904E-6,3.05273742062746E-6,1.1045811472865747E-5,0.863671801114413,7.665129247703683E-4
219,0.08798963093355604,9.882684876264702E-8,8.944986196173505E-7,3.115506460768132E-6,2.771904170343784E-6,1.008659150575805E-5,0.8636298146319952,7.665239705818411E-4
220,0.0879851415274079,8.99246014595156E-8,8.137712332714415E-7,2.832054832780629E-6,2.5170391982537354E-6,9.209921192093448E-6,0.8635877233528372,7.665340571733468E-4
221,0.08798066044466116,8.182567035998427E-8,7.403461457108605E-7,2.5745037082132943E-6,2.2857282376606982E-6,8.408782089374284E-6,0.8635455368214868,7.665432670945389E-4
222,0.08797618695423698,7.445740193603397E-8,6.735608702366891E-7,2.340473750526263E-6,2.075782666385823E-6,7.676742640020133E-6,0.8635032637314654,7.665516758766283E-4
223,0.0879717203911566,6.775373266736542E-8,6.128132487081389E-7,2.1278056228100697E-6,1.8852183202842115E-6,7.007910227315858E-6,0.8634609120010568,7.665593526192683E-4
224,0.08796726015054795,6.16545890920395E-8,5.575559316957974E-7,1.934539487835123E-6,1.7122363020733713E-6,6.396887016935139E-6,0.8634184888423586,7.665663605294956E-4
225,0.08796280568219769,5.6105342730031395E-8,5.072913666937781E-7,1.7588964356813905E-6,1.5552055975150064E-6,5.838729300492019E-6,0.8633760008241929,7.665727574165125E-4
226,0.08795835648559876,5.105631483174094E-8,4.6156724728015603E-7,1.5992616558288361E-6,1.4126473286191347E-6,5.328910076977824E-6,0.8633334539294211,7.66578596145813E-4
227,0.0879539121054481,4.6462326371214016E-8,4.1997238052370954E-7,1.4541691881825818E-6,1.2832204895337927E-6,4.863284626244456E-6,0.8632908536071598,7.6658392505589E-4
228,0.0879494721275537,4.2282289127826216E-8,3.821329339263838E-7,1.3222881033898488E-6,1.1657090252918799E-6,4.438058845929978E-6,0.8632482048203505,7.665887883405163E-4
229,0.08794503617511323,3.847883408459055E-8,3.4770902680508464E-7,1.2024099771466038E-6,1.0590101267440768E-6,4.049760139424629E-6,0.8632055120890947,7.665932263993621E-4
230,0.08794060390533076,3.5017973719810065E-8,3.163916342895326E-7,1.0934375361420694E-6,9.62123626936482E-7,3.695210657683963E-6,0.8631627795301324,7.665972761595016E-4
231,0.0879361750063404,3.18687950848801E-8,2.8789977507756573E-7,9.943743649852708E-7,8.741423950061148E-7,3.3715027119515255E-6,0.8631200108928048,7.666009713701592E-4
232,0.08793174919440924,2.9003180847711437E-8,2.6197795677492473E-7,9.04315574022527E-7,7.942436334692093E-7,3.0759761877985805E-6,0.8630772095918146,7.666043428728712E-4
233,0.08792732621139378,2.6395555741256592E-8,2.3839385507976712E-7,8.224393374989945E-7,7.216809936597028E-7,2.806197803365748E-6,0.8630343787370689,7.66607418849059E-4
234,0.08792290582242712,2.402265609248132E-8,2.1693620527696313E-7,7.479992201408028E-7,6.55777432123509E-7,2.5599420663439358E-6,0.8629915211608633,7.666102250468624E-4
235,0.08791848781381569,2.186332032109457E-8,1.9741288650531257E-7,6.803172180269134E-7,5.959187380654656E-7,2.33517379510249E-6,0.8629486394426442,7.666127849889287E-4
236,0.0879140719911265,1.989829849148325E-8,1.7964918107180417E-7,6.187774466625892E-7,5.415476685506378E-7,2.1300320795031252E-6,0.8629057359315646,7.666151201627239E-4
237,0.08790965817744777,1.811007917744864E-8,1.6348619272863012E-7,5.628204155323299E-7,4.921586341439401E-7,1.9428155663702993E-6,0.8628628127670296,7.666172501948034E-4
238,0.08790524621180684,1.648273205918903E-8,1.4877940931689277E-7,5.119378341651308E-7,4.472928830899523E-7,1.771968963362423E-6,0.8628198718974109,7.666191930103698E-4
239,0.08790083594773143,1.50017648170403E-8,1.3539739653027625E-7,4.6566789994831126E-7,4.065341370411969E-7,1.6160706631426472E-6,0.8627769150970932,7.666209649793332E-4
240,0.08789642725194102,1.365399301815022E-8,1.2322061077550742E-7,4.2359102263144855E-7,3.695046357859518E-7,1.4738213973204942E-6,0.8627339439820001,7.666225810499963E-4
241,0.08789202000315662,1.2427421811772228E-8,1.1214032021603749E-7,3.8532594471740067E-7,3.3586155244946386E-7,1.3440338366624525E-6,0.8626909600237366,7.666240548713936E-4
242,0.0878876140910181,1.1311138357350229E-8,1.0205762409176124E-7,3.50526220786532E-7,3.0529374428469305E-7,1.2256230605853425E-6,0.8626479645624696,7.666253989052303E-4
243,0.08788320941509953,1.0295214008053804E-8,9.288256132044818E-8,3.1887702228232794E-7,2.77518807466312E-7,1.1175978249838311E-6,0.8626049588186605,7.666266245282909E-4
244,0.08787880588401341,9.370615361839847E-9,8.453330021466569E-8,2.900922374370249E-7,2.522804072871026E-7,1.0190525630343022E-6,0.8625619439037504,7.666277421261159E-4
245,0.08787440341459583,8.5291233733052E-9,7.693540189926897E-8,2.63911838866638E-7,2.2934585785861555E-7,9.291600587911929E-7,0.862518920829893,7.666287611786789E-4
246,0.0878700019311653,7.763259793316812E-9,7.002115069620872E-8,2.4009949394469606E-7,2.085039278646955E-7,8.47164738177108E-7,0.8624758905188187,7.666296903387377E-4
247,0.08786560136484847,7.066220270353825E-9,6.372894536196948E-8,2.1844039539910837E-7,1.8956285113144043E-7,7.723765263912211E-7,0.862432853809908,7.666305375034759E-4
248,0.08786120165296672,6.431813508295542E-9,5.800274562429871E-8,1.9873929169039873E-7,1.7234852278229752E-7,7.041652248468078E-7,0.8623898114675448,7.666313098800022E-4
249,0.08785680273847814,5.854405930609844E-9,5.279156897435087E-8,1.8081869864325732E-7,1.56702863562172E-7,6.419553645219441E-7,0.862346764187813,7.666320140452271E-4
250,0.08785240456946987,5.328871351052839E-9,4.8049033132792237E-8,1.6451727553613925E-7,1.4248233655764278E-7,5.852214960897017E-7,0.8623037126045957,7.666326560005916E-4
251,0.0878480070986962,4.85054519655028E-9,4.3732940028165076E-8,1.4968835042277602E-7,1.2955660202794474E-7,5.334838804064847E-7,0.8622606572951305,7.666332412220876E-4
252,0.08784361028315839,4.415182869318201E-9,3.980489750686661E-8,1.3619858088059117E-7,1.1780729740805502E-7,4.863045458990669E-7,0.8622175987850681,7.666337747059681E-4
253,0.08783921408372236,4.0189218728789375E-9,3.6229975340050366E-8,1.2392673766823686E-7,1.0712693076437673E-7,4.432836821207404E-7,0.8621745375530803,7.66634261010514E-4
254,0.08783481846477081,3.6582473607879843E-9,3.2976392406865536E-8,1.1276259994054596E-7,9.741787708725152E-8,4.0405634126189676E-7,0.8621314740350556,7.666347042941961E-4
255,0.08783042339388679,3.3299607979234505E-9,3.001523221866563E-8,1.0260595172565145E-7,8.859146780380743E-8,3.6828942171634507E-7,0.8620884086279214,7.666351083505373E-4
256,0.08782602884156564,3.031151452390454E-9,2.7320184207817904E-8,9.336567032627145E-8,8.05671647993764E-8,3.356789099366352E-7,0.8620453416931239,7.66635476639959E-4
257,0.0878216347809531,2.759170461717948E-9,2.486730843995613E-8,8.495889817461114E-8,7.327181105487262E-8,3.0594735877350197E-7,0.862002273559798,7.66635812318869E-4
258,0.08781724118760681,2.5116072403119913E-9,2.263482162214142E-8,7.731029045649955E-8,6.663895074923227E-8,2.7884158229921465E-7,0.8619592045276537,7.666361182662278E-4
259,0.08781284803927941,2.286268016291587E-9,2.060290247342356E-8,7.035133153295522E-8,6.060821234762757E-8,2.5413054877413575E-7,0.8619161348696055,7.666363971078101E-4
260,0.08780845531572115,2.0811563050660064E-9,1.8753514700537687E-8,6.401971383331625E-8,5.5124748804337455E-8,2.316034549413417E-7,0.8618730648341655,7.666366512383588E-4
261,0.08780406299850022,1.8944551444925783E-9,1.7070245981568933E-8,5.82587734796706E-8,5.013872955990296E-8,2.110679662361074E-7,0.8618299946476243,7.666368828418138E-4
262,0.08779967107083936,1.724510932341844E-9,1.553816150585877E-8,5.3016977433272394E-8,4.5604879510965904E-8,1.923486087850407E-7,0.8617869245160368,7.6663709390978E-4
263,0.0877952795174671,1.5698187212384903E-9,1.414367075056116E-8,4.824745743507795E-8,4.1482060582914277E-8,1.7528530025258377E-7,0.8617438546270297,7.666372862583889E-4
264,0.08779088832448238,1.42900883937379E-9,1.287440629430896E-8,4.3907586449140893E-8,3.773289194459734E-8,1.5973200767874848E-7,0.8617007851514488,7.666374615436891E-4
265,0.08778649747923144,1.3008347172186154E-9,1.1719113577532438E-8,3.995859371358221E-8,3.432340527496449E-8,1.4555552144896888E-7,0.861657716244858,7.666376212756968E-4
266,0.08778210697019566,1.1841618113144861E-9,1.0667550618090275E-8,3.636521486301551E-8,3.12227318271765E-8,1.326343354519149E-7,0.8616146480489056,7.666377668312182E-4
267,0.08777771678688961,1.0779575260826122E-9,9.710396780944202E-9,3.3095373912111186E-8,2.8402818339840714E-8,1.2085762432056078E-7,0.8615715806925677,7.666378994655537E-4
268,0.08777332691976823,9.812820435575373E-10,8.839169782461673E-9,3.0119894185552434E-8,2.583816912052455E-8,1.1012430942178678E-7,0.8615285142932801,7.666380203231781E-4
269,0.08776893736014227,8.932799791043991E-10,8.046150184320197E-9,2.7412235547800258E-8,2.3505611876308835E-8,1.0034220596589707E-7,0.861485448957971,7.666381304474875E-4
270,0.08776454810010147,8.131727885913009E-10,7.32431269959642E-9,2.4948255529406793E-8,2.138408509230468E-8,9.14272442548176E-8,0.8614423847839988,7.666382307896935E-4
271,0.0877601591324446,7.402518592282269E-10,6.667263695073611E-9,2.270599216741606E-8,1.945444496398989E-8,8.330275868114775E-8,0.8613993218600083,7.666383222169377E-4
272,0.08775577045061576,6.738722224125695E-10,6.069184329656574E-9,2.066546657777087E-8,1.7699290074928966E-8,7.589883863406829E-8,0.8613562602667091,7.666384055196964E-4
273,0.0877513820486464,6.134468324943451E-10,5.524778819555152E-9,1.880850345950724E-8,1.610280217974005E-8,6.9151735966396E-8,0.8613132000775853,7.666384814185351E-4
274,0.0877469939211026,5.584413604420931E-10,5.029227367050987E-9,1.7118567895588085E-8,1.4650601604704845E-8,6.300332413354835E-8,0.8612701413595408,7.666385505702711E-4
275,0.08774260606303709,5.083694559992194E-10,4.5781433316191864E-9,1.5580616965068116E-8,1.3329615916670921E-8,5.740060453327087E-8,0.8612270841734883,7.666386135735952E-4
276,0.0877382184699455,4.6278843611190256E-10,4.167534260320213E-9,1.4180964817308197E-8,1.2127960636215077E-8,5.2295255957842596E-8,0.8611840285748839,7.666386709741997E-4
277,0.08773383113772665,4.212953612215681E-10,3.793766429055644E-9,1.2907159982451915E-8,1.1034830884640242E-8,4.764322342101945E-8,0.8611409746142157,7.666387232694557E-4
278,0.0877294440626463,3.8352346448178806E-10,3.453532577810676E-9,1.1747873804503512E-8,1.0040402957369049E-8,4.340434294287445E-8,0.8610979223374475,7.666387709126791E-4
279,0.08772505724130426,3.491389021126553E-10,3.143822551673394E-9,1.069279898515777E-8,9.135744909673045E-9,3.954199916940706E-8,0.8610548717864236,7.666388143170221E-4
280,0.0877206706706044,3.178377959736341E-10,2.861896585486731E-9,9.732557318984799E-9,8.312735325341326E-9,3.6022812972581955E-8,0.8610118229992366,7.666388538590212E-4
281,0.08771628434772734,2.8934354204450986E-10,2.6052609936907118E-9,8.858615784531979E-9,7.563989515664302E-9,3.281635642239876E-8,0.8609687760105633,7.666388898818342E-4
282,0.08771189827010559,2.6340436087685273E-10,2.3716460484651103E-9,8.063210232156891E-9,6.882792465728156E-9,2.989489274759643E-8,0.8609257308519698,7.666389226981906E-4
283,0.08770751243540102,2.397910682367616E-10,2.1589858488817715E-9,7.339275978661166E-9,6.263037908154306E-9,2.7233139107413212E-8,0.8608826875521896,7.666389525930833E-4
284,0.08770312684148421,2.1829504612299468E-10,1.9654000015990947E-9,6.680384681701589E-9,5.699172961683144E-9,2.4808050185065174E-8,0.8608396461373771,7.666389798262225E-4
285,0.08769874148641574,1.9872639613058055E-10,1.7891769498401247E-9,6.080686924097358E-9,5.186147823942778E-9,2.2598620785750802E-8,0.8607966066313381,7.666390046342726E-4
286,0.08769435636842916,1.8091225875472305E-10,1.6287588021369435E-9,5.534859990062286E-9,4.719370054859639E-9,2.058570577939246E-8,0.8607535690557396,7.666390272328934E-4
287,0.08768997148591545,1.6469528370783014E-10,1.482727525731007E-9,5.038060362550117E-9,4.294663029909951E-9,1.8751855872232116E-8,0.8607105334303016,7.666390478185992E-4
288,0.08768558683740893,1.499322376671224E-10,1.3497923817128326E-9,4.585880513747175E-9,3.908228181187992E-9,1.7081167822949785E-8,0.8606674997729704,7.66639066570455E-4
289,0.08768120242157433,1.3649273709355478E-10,1.2287784900751594E-9,4.174309599675981E-9,3.5566106794491543E-9,1.5559147839215708E-8,0.8606244681000779,7.666390836516229E-4
290,0.08767681823719516,1.242580948757042E-10,1.1186164229414321E-9,3.799697705246371E-9,3.23666824220844E-9,1.4172587000480573E-8,0.8605814384264855,7.666390992107707E-4
291,0.08767243428316301,1.1312027056480966E-10,1.0183327334071854E-9,3.4587233182335878E-9,2.9455427819422835E-9,1.290944765323234E-8,0.8605384107657158,7.666391133833578E-4
292,0.08766805055846794,1.0298091488837615E-10,9.270413357783089E-10,3.148363739872356E-9,2.6806346347288036E-9,1.1758759816709258E-8,0.8604953851300724,7.666391262928054E-4
293,0.08766366706218952,9.375050006791852E-11,8.43935660582405E-10,2.865868166301157E-9,2.4395791335183466E-9,1.0710526720895335E-8,0.8604523615307487,7.666391380515651E-4
294,0.08765928379348888,8.53475282290355E-11,7.682815146358554E-10,2.608733199215991E-9,2.2202253118786747E-9,9.7556386752135E-9,0.8604093399779272,7.666391487620919E-4
295,0.0876549007516014,7.76978108858846E-11,6.994105827318887E-10,2.3746805660196786E-9,2.0206165437123244E-9,8.885794536292773E-9,0.8603663204808704,7.666391585177306E-4
296,0.08765051793583001,7.073381311348853E-11,6.367145132303723E-10,2.1616368496823683E-9,1.8389729422832958E-9,8.093430107086597E-9,0.8603233030480022,7.666391674035251E-4
297,0.08764613534553915,6.439405659578101E-11,5.79639535029569E-10,1.967715046644217E-9,1.6736753580847476E-9,7.37165285797966E-9,0.8602802876869836,7.666391754969552E-4
298,0.0876417529801493,5.862257626003585E-11,5.276815581303901E-10,1.7911977875580994E-9,1.523250829781389E-9,6.71418241381583E-9,0.8602372744047809,7.666391828686081E-4
299,0.08763737083913187,5.3368425683978324E-11,4.803817143071794E-10,1.6305220706393004E-9,1.3863593558081835E-9,6.115296299445671E-9,0.8601942632077273,7.666391895827905E-4
300,0.08763298892200468,4.8585226894706566E-11,4.373222983143751E-10,1.4842653709973655E-9,1.2617818663262992E-9,5.569780480826837E-9,0.8601512541015799,7.666391956980868E-4
301,0.08762860722832781,4.4230760572411463E-11,3.9812307362061074E-10,1.351133001696774E-9,1.1484092862416804E-9,5.072884279279057E-9,0.8601082470915714,7.666392012678673E-4
302,0.0876242257576998,4.026659303029222E-11,3.624379099028362E-10,1.2299466135407934E-9,1.0452325899843726E-9,4.620279273531026E-9,0.8600652421824566,7.666392063407516E-4
303,0.08761984450975419,3.665773666821585E-11,3.2995172248190057E-10,1.119633730799225E-9,9.51333757821352E-10,4.208021838004346E-9,0.8600222393785554,7.666392109610309E-4
304,0.08761546348415634,3.337234089447273E-11,3.003776865641154E-10,1.0192182293988776E-9,8.658775517169202E-10,3.8325189966388384E-9,0.8599792386837917,7.666392151690528E-4
305,0.08761108268060074,3.038141078007811E-11,2.7345470159462056E-10,9.278116725500788E-10,7.881040362396968E-10,3.4904972997292086E-9,0.8599362401017286,7.666392190015718E-4
306,0.08760670209880815,2.765855095587064E-11,2.489450832497297E-10,8.446054264701981E-10,7.173217768136677E-10,3.1789744569485678E-9,0.8598932436356012,7.666392224920691E-4
307,0.08760232173852348,2.5179732486350655E-11,2.2663246261669115E-10,7.688634858557876E-10,6.529016537859478E-10,2.8952334831929882E-9,0.8598502492883449,7.666392256710435E-4
308,0.08759794159951347,2.2923080657774706E-11,2.0631987394852066E-10,6.999159451119978E-10,5.942712363933255E-10,2.6367991352881304E-9,0.8598072570626234,7.666392285662771E-4
309,0.0875935616815648,2.0868681803290618E-11,1.8782801405516547E-10,6.371530571289924E-10,5.409096658054076E-10,2.401416437132246E-9,0.8597642669608524,7.666392312030762E-4
310,0.08758918198448232,1.899840745650747E-11,1.709936579151875E-10,5.80019826652547E-10,4.923430010515328E-10,2.187031108672455E-9,0.8597212789852218,7.666392336044926E-4
311,0.08758480250808734,1.7295754278346644E-11,1.556682164779878E-10,5.28011090077442E-10,4.481399858445088E-10,1.991771730371947E-9,0.8596782931377159,7.666392357915237E-4
312,0.08758042325221624,1.5745698341677862E-11,1.4171642388770422E-10,4.806670378408907E-10,4.079081981355522E-10,1.8139334896607147E-9,0.8596353094201321,7.666392377832955E-4
313,0.08757604421671907,1.4334562485349795E-11,1.2901514250753317E-10,4.3756913954838375E-10,3.712905477069385E-10,1.6519633693958644E-9,0.8595923278340971,7.666392395972289E-4
314,0.08757166540145833,1.3049895564907125E-11,1.1745227516759033E-10,3.9833643556167666E-10,3.379620902638452E-10,1.5044466507029233E-9,0.8595493483810825,7.666392412491923E-4
315,0.0875672868063079,1.1880362532573288E-11,1.0692577500983237E-10,3.626221620506793E-10,3.076271293538158E-10,1.3700946138306943E-9,0.8595063710624188,7.66639242753639E-4
316,0.08756290843115194,1.0815644374905095E-11,9.734274416848077E-11,3.3011067948721413E-10,2.8001658004759995E-10,1.2477333309236892E-9,0.8594633958793076,7.666392441237335E-4
317,0.08755853027588403,9.846347023743135E-12,8.861861331151766E-11,3.0051467726581796E-10,2.548855706828219E-10,1.1362934539845868E-9,0.8594204228328337,7.666392453714669E-4
318,0.08755415234040632,8.963918435464827E-12,8.067639478516834E-11,2.7357262959935036E-10,2.320112611237651E-10,1.034800909843475E-9,0.859377451923975,7.666392465077603E-4
319,0.08754977462462873,8.160573105798923E-12,7.344600275522011E-11,2.490464800772993E-10,2.1119085794630767E-10,9.423684217429708E-10,0.859334483153612,7.666392475425613E-4
320,0.08754539712846827,7.429223353223367E-12,6.686363433234923E-11,2.267195343124906E-10,1.9223980873464202E-10,8.581877842545505E-10,0.8592915165225375,7.666392484849297E-4
