T,SU,EX,I0,I1,I2,I3,RE,ED
22,0.9988436886085019,7.917675714430597E-6,2.2083320237203805E-5,1.2652991456869005E-5,1.6991645428406996E-6,2.938786799982352E-7,1.2189119241392691E-5,1.3174879883596828E-9
23,0.9987845792626261,9.167161445411819E-6,2.5568173377190808E-5,1.4651895620234825E-5,1.972661495348306E-6,3.4539936364667633E-7,1.4282716626352436E-5,1.6113666683579181E-9
24,0.9987240263352838,1.0613698379213719E-5,2.9602991727620177E-5,1.6965928127068674E-5,2.288671742021618E-6,4.047909921521772E-7,1.670764123530857E-5,1.9567660320045944E-9
25,0.9986618017972083,1.2288336758678804E-5,3.42744310356555E-5,1.9644867508628847E-5,2.653980169489347E-6,4.7329081238622215E-7,1.9516077745555644E-5,2.361557024156772E-9
26,0.9985976416935193,1.4227013599191075E-5,3.96828027352259E-5,2.2746318185459553E-5,3.0764339263807023E-6,5.523354202181177E-7,2.2768453418603505E-5,2.8348478365429937E-9
27,0.9985312404911362,1.6471320298496885E-5,4.5944219590248457E-5,2.6336946301606953E-5,3.5651100308028726E-6,6.435914069908003E-7,2.653473476174793E-5,3.3871832567611114E-9
28,0.9984622445387378,1.9069390373857876E-5,5.319307824904425E-5,3.049390887137562E-5,4.130509465025108E-6,7.489909222584503E-7,3.0895928575102845E-5,4.0307746637519116E-9
29,0.9983902445005215,2.207692598930199E-5,6.15849312085208E-5,3.530650669629303E-5,4.784781863662091E-6,8.707729223922175E-7,3.594581942325433E-5,4.779765586010362E-9
30,0.998314766603507,2.5558384789418707E-5,7.129980881133191E-5,4.0878096209047264E-5,5.541985557787373E-6,1.0115309932277056E-6,4.179298059493943E-5,5.650538508402579E-9
31,0.9982352625133458,2.9588351831044857E-5,8.254606124667107E-5,4.732830082952024E-5,6.41838849168168E-6,1.174268772881577E-6,4.856310141630669E-5,6.662069501630285E-9
32,0.998151097625063,3.425312515714877E-5,9.556480127137195E-5,5.4795568682331246E-5,7.432816397065886E-6,1.3624641609389952E-6,5.640168048268314E-5,7.836338274511862E-9
33,0.9980615375223308,3.9652547850964666E-5,1.1063504070990142E-4,6.344013074728301E-5,8.607055609532494E-6,1.5801436856187164E-6,6.547714210713327E-5,9.198802435450857E-9
34,0.9979657323211434,4.59021243113333E-5,1.2807962795007369E-4,7.344742183215875E-5,9.966319063747108E-6,1.8319686149974167E-6,7.598444220807032E-5,1.0778946121069573E-8
35,0.9978626985704515,5.3135464075827793E-5,1.4827210987045317E-4,8.503203632810813E-5,1.1539785330877046E-5,2.1233346462497665E-6,8.814924015183219E-5,1.2610914736066991E-8
36,0.9977512983326587,6.150710286426293E-5,1.7164466018448023E-4,9.844230170786012E-5,1.3361222089765423E-5,2.4604872931300513E-6,1.0223272493379217E-4,1.4734249382316758E-8
37,0.9976302150100406,7.119575770158743E-5,1.9869723735805358E-4,1.1396556535391486E-4,1.546970718223223E-5,2.8506554223247096E-6,1.1853719775586234E-4,1.7194736675446808E-8
38,0.9974979254182048,8.240808108530109E-5,2.3000815936557317E-4,1.31934304777693E-4,1.791046242602797E-5,3.30220577041953E-6,1.3741252880325743E-4,2.004539209777152E-8
39,0.9973526675336711,9.538298826270353E-5,2.662463099245653E-4,1.5273318785415774E-4,2.0735817684085684E-5,3.824821712563608E-6,1.5926362413793872E-4,2.334759786819105E-8
40,0.9971924032584544,1.103966418401152E-4,3.0818522182924024E-4,1.768072286148673E-4,2.400632535806031E-5,4.429710060031127E-6,1.8455905944698053E-4,2.717241958075466E-8
41,0.9970147754490902,1.2776818920123934E-4,3.567193179216811E-4,2.04671205701583E-4,2.7792048534780887E-5,5.129840246494319E-6,2.138410612887815E-4,3.1602129640785784E-8
42,0.9968170583497457,1.478663605721204E-4,4.1288262940351953E-4,2.3692053508511185E-4,3.217404951823047E-5,5.940220932909371E-6,2.4773704388939975E-4,3.67319698872801E-8
43,0.9965961004478385,1.7111704898959917E-4,4.7787035485390904E-4,2.7424381641282154E-4,3.7246109484049534E-5,6.878219830844841E-6,2.869729409208265E-4,4.2672190820189475E-8
44,0.9963482586350323,1.9801200778381904E-4,5.530636716374674E-4,3.1743730367545E-4,4.311671456007316E-5,7.963933427692516E-6,3.323886075527792E-4,4.9550410651034316E-8
45,0.9960693224058662,2.291188162342826E-4,6.400582643584485E-4,3.67421586074601E-4,4.99113488308398E-5,9.22061430989208E-6,3.849556089617378E-4,5.7514344078726834E-8
46,0.9957544266603431,2.650922794028651E-4,7.406970924056571E-4,4.2526080428047735E-4,5.77751406549284E-5,1.0675164939064694E-5,4.457977579937315E-4,6.673495838861892E-8
47,0.9953979514958494,3.0668744316070045E-4,8.571079798451428E-4,4.921847708724203E-4,6.687591534073507E-5,1.235870805934373E-5,5.162148174242294E-4,7.741012332768362E-8
48,0.9949934071791007,3.5477441917401947E-4,9.917466748564402E-4,5.696144117043302E-4,7.740771471583799E-5,1.4307245422217356E-5,5.977098418599076E-4,8.976883138702735E-8
49,0.9945333022830009,4.103552257408178E-4,0.0011474460907604962,6.591909970899944E-4,8.959485250726831E-5,1.6562418229048106E-5,6.920207013827421E-4,1.0407607680924471E-7
50,0.9940089927609337,4.7458285695306437E-4,0.0013274725036486583,7.62809687627236E-4,1.0369658377073759E-4,1.917238463303105E-5,8.011564040841825E-4,1.2063849503829282E-7
51,0.9934105095192751,5.487827920205852E-4,0.0015355895385278577,8.82657978323828E-4,1.2001247688851399E-4,2.2192831833611233E-5,9.274389180912429E-4,1.3981087967132387E-7
52,0.9927263618487391,6.344771450600487E-4,0.0017761308207415096,0.00102125968500959,1.388885878834425E-4,2.5688142758091517E-5,0.0010735512857554207,1.620037115049351E-7
53,0.9919433139023922,7.334116282544279E-4,0.0020540821937356404,0.0011815251765519197,1.6072454890013327E-4,2.973274007533228E-5,0.0012425929232428847,1.876918542630266E-7
54,0.9910461312853177,8.475854513794528E-4,0.002375174396271914,0.001366808611740736,1.8598169553216137E-4,3.441263333792706E-5,0.001438143107227671,2.174245943383589E-7
55,0.9900172947792552,9.792841994983046E-4,0.002745987035911907,0.0015809729859483353,2.151923709597065E-4,3.982719840639077E-5,0.0016643337654412649,2.5183722767628594E-7
