FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED,,,,,,,,,,,,,,,,,,,
18/03/2020,ND,BOG,BOG,0,0.01,,18/03/2020,ND,BOG,UNI,0.00014998,0,,,,I0,1.22773E-05,1.02853E-05,,,1.21034E-05,1.02853E-05,,
18/03/2020,RE,BOG,BOG,1.01E-05,0.01,,18/03/2020,RE,BOG,UNI,2.51965E-05,0,,,,I1,8.74813E-06,2.59329E-06,,,8.7481E-06,2.5933E-06,,
18/03/2020,SU,BOG,BOG,0.999884682,0.01,,18/03/2020,SU,BOG,UNI,0.999706118,0,,,,,,,,,,,,
19/03/2020,ED,BOG,BOG,1.50E-10,0.01,,19/03/2020,ED,BOG,UNI,1.315E-07,0,,,,,,,,,,,,
19/03/2020,EX,BOG,BOG,1.72E-05,0.01,,19/03/2020,EX,BOG,UNI,4.58685E-05,0,,,,,,,,,,,,
19/03/2020,I0,BOG,BOG,6.12E-05,0.01,,19/03/2020,I0,BOG,UNI,0.000126966,0,,,,,,,,,,,,
19/03/2020,I1,BOG,BOG,3.58E-05,0.01,,19/03/2020,I1,BOG,UNI,0.000112644,0,,,,,,,,,,,,
19/03/2020,I2,BOG,BOG,3.09E-06,0.01,,19/03/2020,I2,BOG,UNI,9.74771E-05,0,,,,,,,,,,,,
19/03/2020,I3,BOG,BOG,1.96E-07,0.01,,19/03/2020,I3,BOG,UNI,9.75741E-05,0,,,,,,,,,,,,
19/03/2020,ND,BOG,BOG,0,0.01,,19/03/2020,ND,BOG,UNI,0.000199966,0,,,,,,,,,,,,
19/03/2020,RE,BOG,BOG,1.51E-05,0.01,,19/03/2020,RE,BOG,UNI,4.51944E-05,0,,,,,,,,,,,,
19/03/2020,SU,BOG,BOG,0.999867463,0.01,,19/03/2020,SU,BOG,UNI,0.999610264,0,,,,,,,,,,,,
20/03/2020,ED,BOG,BOG,3.45E-10,0.01,,20/03/2020,ED,BOG,UNI,0.000000229,0,,,,,,,,,,,,
20/03/2020,EX,BOG,BOG,1.89E-05,0.01,,20/03/2020,EX,BOG,UNI,6.24628E-05,0,,,,,,,,,,,,
20/03/2020,I0,BOG,BOG,6.61E-05,0.01,,20/03/2020,I0,BOG,UNI,0.000172184,0,,,,,,,,,,,,
20/03/2020,I1,BOG,BOG,4.12E-05,0.01,,20/03/2020,I1,BOG,UNI,0.000158062,0,,,,,,,,,,,,
20/03/2020,I2,BOG,BOG,4.10E-06,0.01,,20/03/2020,I2,BOG,UNI,0.000142931,0,,,,,,,,,,,,
20/03/2020,I3,BOG,BOG,3.23E-07,0.01,,20/03/2020,I3,BOG,UNI,0.000143199,0,,,,,,,,,,,,
20/03/2020,ND,BOG,BOG,0,0.01,,20/03/2020,ND,BOG,UNI,0.000249949,0,,,,,,,,,,,,
20/03/2020,RE,BOG,BOG,2.08E-05,0.01,,20/03/2020,RE,BOG,UNI,7.38478E-05,0,,,,,,,,,,,,
20/03/2020,SU,BOG,BOG,0.999848569,0.01,,20/03/2020,SU,BOG,UNI,0.999497821,0,,,,,,,,,,,,
21/03/2020,ED,BOG,BOG,6.69E-10,0.01,,21/03/2020,ED,BOG,UNI,3.722E-07,0,,2.7591186,,,,,,,,,,
21/03/2020,EX,BOG,BOG,2.07E-05,0.01,,21/03/2020,EX,BOG,UNI,8.59339E-05,0,,637.0280007,,,,,,,,,,
21/03/2020,I0,BOG,BOG,7.17E-05,0.01,,21/03/2020,I0,BOG,UNI,0.000233765,0,,1732.897721,,,,,,,,,,
21/03/2020,I1,BOG,BOG,4.67E-05,0.01,,21/03/2020,I1,BOG,UNI,0.000219893,0,,1630.063103,,,,,,,,,,
21/03/2020,I2,BOG,BOG,5.19E-06,0.01,,21/03/2020,I2,BOG,UNI,0.000204786,0,,1518.080842,,,,,,,,,,
21/03/2020,I3,BOG,BOG,4.86E-07,0.01,,21/03/2020,I3,BOG,UNI,0.000205303,0,,1521.914104,,,,,,,,,,
21/03/2020,ND,BOG,BOG,0,0.01,,21/03/2020,ND,BOG,UNI,0.000299928,0,,2223.363299,,,,,,,,,,
21/03/2020,RE,BOG,BOG,2.72E-05,0.01,,21/03/2020,RE,BOG,UNI,0.000114738,0,,850.5505701,,,,,,,,,,
21/03/2020,SU,BOG,BOG,0.999827829,0.01,,21/03/2020,SU,BOG,UNI,0.999361912,0,,7408269.853,,,,,,,,,,
22/03/2020,ED,BOG,BOG,1.15E-09,0.01,,22/03/2020,ED,BOG,UNI,5.775E-07,0,,,,,,,,,,,,
