FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-15,ED,BOG,BOG,0.0,0.01
2020-03-15,EX,BOG,BOG,2.69796E-5,0.01
2020-03-15,I0,BOG,BOG,3.03521E-5,0.01
2020-03-15,I1,BOG,BOG,1.55133E-5,0.01
2020-03-15,I2,BOG,BOG,1.35E-7,0.01
2020-03-15,I3,BOG,BOG,0.0,0.01
2020-03-15,ND,BOG,BOG,0.0,0.01
2020-03-15,RE,BOG,BOG,0.0,0.01
2020-03-15,SU,BOG,BOG,0.99992702,0.01
2020-03-16,ED,BOG,BOG,0.0,0.01
2020-03-16,EX,BOG,BOG,2.713301968768376E-9,0.01
2020-03-16,I0,BOG,BOG,5.1239071146341465E-5,0.01
2020-03-16,I1,BOG,BOG,1.8523503853658535E-5,0.01
2020-03-16,I2,BOG,BOG,7.370499374999996E-7,0.01
2020-03-16,I3,BOG,BOG,6.428249999999998E-9,0.01
2020-03-16,ND,BOG,BOG,0.0,0.01
2020-03-16,RE,BOG,BOG,2.4739468125000003E-6,0.01
2020-03-16,SU,BOG,BOG,0.9999270172866981,0.01
2020-03-17,ED,BOG,BOG,6.4282499999999986E-12,0.01
2020-03-17,EX,BOG,BOG,7.255635924246345E-7,0.01
2020-03-17,I0,BOG,BOG,4.0956478215764126E-5,0.01
2020-03-17,I1,BOG,BOG,2.46783474123022E-5,0.01
2020-03-17,I2,BOG,BOG,1.3770848841611844E-6,0.01
2020-03-17,I3,BOG,BOG,4.088128619062497E-8,0.01
2020-03-17,ND,BOG,BOG,0.0,0.01
2020-03-17,RE,BOG,BOG,5.929600091050629E-6,0.01
2020-03-17,SU,BOG,BOG,0.9999262917231057,0.01
2020-03-18,ED,BOG,BOG,4.730953619062497E-11,0.01
2020-03-18,EX,BOG,BOG,9.403139291003685E-7,0.01
2020-03-18,I0,BOG,BOG,3.346077801024391E-5,0.01
2020-03-18,I1,BOG,BOG,2.8215948226051816E-5,0.01
2020-03-18,I2,BOG,BOG,2.1756901221579214E-6,0.01
2020-03-18,I3,BOG,BOG,1.0236534947237085E-7,0.01
2020-03-18,ND,BOG,BOG,0.0,0.01
2020-03-18,RE,BOG,BOG,9.751129709657845E-6,0.01
2020-03-18,SU,BOG,BOG,0.9999253514091766,0.01
2020-03-19,ED,BOG,BOG,1.4967488566299581E-10,0.01
2020-03-19,EX,BOG,BOG,9.93554328177267E-7,0.01
2020-03-19,I0,BOG,BOG,2.768445284119044E-5,0.01
2020-03-19,I1,BOG,BOG,2.9978531232251083E-5,0.01
2020-03-19,I2,BOG,BOG,3.006467008101065E-6,0.01
2020-03-19,I3,BOG,BOG,1.9572792584188676E-7,0.01
2020-03-19,ND,BOG,BOG,0.0,0.01
2020-03-19,RE,BOG,BOG,1.3775928071826139E-5,0.01
2020-03-19,SU,BOG,BOG,0.9999243578548485,0.01
2020-03-20,ED,BOG,BOG,3.454028115048826E-10,0.01
2020-03-20,EX,BOG,BOG,9.907446326447185E-7,0.01
2020-03-20,I0,BOG,BOG,2.3120859684416552E-5,0.01
2020-03-20,I1,BOG,BOG,3.0508150759451374E-5,0.01
2020-03-20,I2,BOG,BOG,3.794010397036205E-6,0.01
2020-03-20,I3,BOG,BOG,3.1931307062677705E-7,0.01
2020-03-20,ND,BOG,BOG,0.0,0.01
2020-03-20,RE,BOG,BOG,1.788254109956488E-5,0.01
2020-03-20,SU,BOG,BOG,0.9999233671102158,0.01
2020-03-21,ED,BOG,BOG,6.647158821316596E-10,0.01
2020-03-21,EX,BOG,BOG,9.661188129450037E-7,0.01
2020-03-21,I0,BOG,BOG,1.947051467796985E-5,0.01
2020-03-21,I1,BOG,BOG,3.0184473501687106E-5,0.01
2020-03-21,I2,BOG,BOG,4.494920595683348E-6,0.01
2020-03-21,I3,BOG,BOG,4.680398919696399E-7,0.01
2020-03-21,ND,BOG,BOG,0.0,0.01
2020-03-21,RE,BOG,BOG,2.1981705322899222E-5,0.01
2020-03-21,SU,BOG,BOG,0.9999224009914028,0.01
2020-03-22,ED,BOG,BOG,1.1327557741012995E-9,0.01
2020-03-22,EX,BOG,BOG,1.76353385427409E-6,0.01
2020-03-22,I0,BOG,BOG,1.6528283837263834E-5,0.01
2020-03-22,I1,BOG,BOG,2.9282881424762834E-5,0.01
2020-03-22,I2,BOG,BOG,5.0869261773659664E-6,0.01
