FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED,,,,,,,,,
20/03/2020,RE,BOG,BOG,2.13E-05,0.01,,20/03/2020,RE,BOG,UNI,7.38478E-05,0,,VERDADERO
20/03/2020,SU,BOG,BOG,0.999820265,0.01,,20/03/2020,SU,BOG,UNI,0.999497821,0,,FALSO
21/03/2020,ED,BOG,BOG,6.69E-10,0.01,,21/03/2020,ED,BOG,UNI,3.722E-07,0,,VERDADERO
21/03/2020,EX,BOG,BOG,3.34E-05,0.01,,21/03/2020,EX,BOG,UNI,8.59339E-05,0,,VERDADERO
21/03/2020,I0,BOG,BOG,9.40E-05,0.01,,21/03/2020,I0,BOG,UNI,0.000233765,0,,VERDADERO
21/03/2020,I1,BOG,BOG,5.14E-05,0.01,,21/03/2020,I1,BOG,UNI,0.000219893,0,,VERDADERO
21/03/2020,I2,BOG,BOG,5.31E-06,0.01,,21/03/2020,I2,BOG,UNI,0.000204786,0,,VERDADERO
21/03/2020,I3,BOG,BOG,4.88E-07,0.01,,21/03/2020,I3,BOG,UNI,0.000205303,0,,VERDADERO
21/03/2020,ND,BOG,BOG,0,0.01,,21/03/2020,ND,BOG,UNI,0.000299928,0,,VERDADERO
21/03/2020,RE,BOG,BOG,2.85E-05,0.01,,21/03/2020,RE,BOG,UNI,0.000114738,0,,VERDADERO
21/03/2020,SU,BOG,BOG,0.999786902,0.01,,21/03/2020,SU,BOG,UNI,0.999361912,0,,FALSO
22/03/2020,ED,BOG,BOG,1.16E-09,0.01,,22/03/2020,ED,BOG,UNI,5.775E-07,0,,VERDADERO
22/03/2020,EX,BOG,BOG,3.86E-05,0.01,,22/03/2020,EX,BOG,UNI,0.000117887,0,,VERDADERO
22/03/2020,I0,BOG,BOG,1.08E-04,0.01,,22/03/2020,I0,BOG,UNI,0.000318501,0,,VERDADERO
22/03/2020,I1,BOG,BOG,6.03E-05,0.01,,22/03/2020,I1,BOG,UNI,0.000304947,0,,VERDADERO
22/03/2020,I2,BOG,BOG,6.64E-06,0.01,,22/03/2020,I2,BOG,UNI,0.00028985,0,,VERDADERO
22/03/2020,I3,BOG,BOG,6.92E-07,0.01,,22/03/2020,I3,BOG,UNI,0.000290724,0,,VERDADERO
22/03/2020,ND,BOG,BOG,0,0.01,,22/03/2020,ND,BOG,UNI,0.000349901,0,,VERDADERO
22/03/2020,RE,BOG,BOG,3.69E-05,0.01,,22/03/2020,RE,BOG,UNI,0.000172284,0,,VERDADERO
22/03/2020,SU,BOG,BOG,0.999748273,0.01,,22/03/2020,SU,BOG,UNI,0.999194057,0,,FALSO
23/03/2020,ED,BOG,BOG,1.85E-09,0.01,,23/03/2020,ED,BOG,UNI,8.683E-07,0,,VERDADERO
23/03/2020,EX,BOG,BOG,4.47E-05,0.01,,23/03/2020,EX,BOG,UNI,0.000161838,0,,VERDADERO
23/03/2020,I0,BOG,BOG,1.25E-04,0.01,,23/03/2020,I0,BOG,UNI,0.000434757,0,,VERDADERO
23/03/2020,I1,BOG,BOG,7.04E-05,0.01,,23/03/2020,I1,BOG,UNI,0.000421614,0,,VERDADERO
23/03/2020,I2,BOG,BOG,8.15E-06,0.01,,23/03/2020,I2,BOG,UNI,0.000406504,0,,VERDADERO
23/03/2020,I3,BOG,BOG,9.39E-07,0.01,,23/03/2020,I3,BOG,UNI,0.000407884,0,,VERDADERO
23/03/2020,ND,BOG,BOG,0,0.01,,23/03/2020,ND,BOG,UNI,0.00039987,0,,VERDADERO
23/03/2020,RE,BOG,BOG,4.69E-05,0.01,,23/03/2020,RE,BOG,UNI,0.000252741,0,,VERDADERO
23/03/2020,SU,BOG,BOG,0.999703536,0.01,,23/03/2020,SU,BOG,UNI,0.998982259,0,,FALSO
24/03/2020,ED,BOG,BOG,2.79E-09,0.01,,24/03/2020,ED,BOG,UNI,1.2761E-06,0,,VERDADERO
24/03/2020,EX,BOG,BOG,5.18E-05,0.01,,24/03/2020,EX,BOG,UNI,0.000222113,0,,VERDADERO
24/03/2020,I0,BOG,BOG,1.45E-04,0.01,,24/03/2020,I0,BOG,UNI,0.000594368,0,,VERDADERO
24/03/2020,I1,BOG,BOG,8.19E-05,0.01,,24/03/2020,I1,BOG,UNI,0.000581766,0,,VERDADERO
24/03/2020,I2,BOG,BOG,9.85E-06,0.01,,24/03/2020,I2,BOG,UNI,0.000566614,0,,VERDADERO
24/03/2020,I3,BOG,BOG,1.23E-06,0.01,,24/03/2020,I3,BOG,UNI,0.000568703,0,,VERDADERO
24/03/2020,ND,BOG,BOG,0,0.01,,24/03/2020,ND,BOG,UNI,0.000449832,0,,VERDADERO
